Date,IceCreamT,WhiskeyT
2017-01-01,32,37
2017-01-08,29,37
2017-01-15,30,37
2017-01-22,35,45
2017-01-29,33,32
2017-02-05,36,36
2017-02-12,41,34
2017-02-19,39,36
2017-02-26,36,36
2017-03-05,37,27
2017-03-12,40,34
2017-03-19,40,34
2017-03-26,45,34
2017-04-02,58,32
2017-04-09,59,35
2017-04-16,41,31
2017-04-23,44,36
2017-04-30,49,30
2017-05-07,52,35
2017-05-14,47,35
2017-05-21,65,29
2017-05-28,60,35
2017-06-04,50,32
2017-06-11,64,42
2017-06-18,77,35
2017-06-25,53,34
2017-07-02,67,31
2017-07-09,59,32
2017-07-16,62,32
2017-07-23,53,37
2017-07-30,55,38
2017-08-06,53,34
2017-08-13,52,38
2017-08-20,53,36
2017-08-27,56,41
2017-09-03,43,41
2017-09-10,37,38
2017-09-17,37,38
2017-09-24,36,39
2017-10-01,38,39
2017-10-08,37,39
2017-10-15,36,41
2017-10-22,40,42
2017-10-29,36,46
2017-11-05,38,50
2017-11-12,32,54
2017-11-19,31,58
2017-11-26,33,63
2017-12-03,31,72
2017-12-10,31,80
2017-12-17,38,92
2017-12-24,33,74
2017-12-31,32,46
2018-01-07,34,40
2018-01-14,40,38
2018-01-21,50,47
2018-01-28,39,36
2018-02-04,45,36
2018-02-11,45,38
2018-02-18,43,34
2018-02-25,35,33
2018-03-04,42,37
2018-03-11,46,39
2018-03-18,44,41
2018-03-25,46,40
2018-04-01,46,40
2018-04-08,51,33
2018-04-15,71,32
2018-04-22,55,33
2018-04-29,56,36
2018-05-06,72,35
2018-05-13,58,35
2018-05-20,79,34
2018-05-27,74,36
2018-06-03,68,41
2018-06-10,66,42
2018-06-17,58,38
2018-06-24,95,31
2018-07-01,82,29
2018-07-08,75,32
2018-07-15,74,35
2018-07-22,88,33
2018-07-29,67,35
2018-08-05,66,35
2018-08-12,53,43
2018-08-19,56,45
2018-08-26,52,45
2018-09-02,47,41
2018-09-09,38,39
2018-09-16,40,56
2018-09-23,34,45
2018-09-30,38,65
2018-10-07,36,52
2018-10-14,38,49
2018-10-21,38,47
2018-10-28,35,50
2018-11-04,38,53
2018-11-11,37,51
2018-11-18,34,60
2018-11-25,33,70
2018-12-02,29,75
2018-12-09,31,82
2018-12-16,37,100
2018-12-23,34,81
2018-12-30,32,49
2019-01-06,33,39
2019-01-13,34,40
2019-01-20,34,50
2019-01-27,42,37
2019-02-03,40,41
2019-02-10,43,39
2019-02-17,49,40
2019-02-24,52,46
2019-03-03,46,44
2019-03-10,42,45
2019-03-17,51,40
2019-03-24,57,41
2019-03-31,52,36
2019-04-07,53,38
2019-04-14,68,41
2019-04-21,58,38
2019-04-28,48,36
2019-05-05,46,39
2019-05-12,56,36
2019-05-19,54,40
2019-05-26,63,43
2019-06-02,53,44
2019-06-09,50,49
2019-06-16,58,46
2019-06-23,73,39
2019-06-30,83,36
2019-07-07,73,35
2019-07-14,65,35
2019-07-21,99,39
2019-07-28,67,37
2019-08-04,61,42
2019-08-11,53,41
2019-08-18,63,45
2019-08-25,68,47
2019-09-01,44,41
2019-09-08,38,43
2019-09-15,42,41
2019-09-22,36,43
2019-09-29,32,42
2019-10-06,39,46
2019-10-13,35,41
2019-10-20,36,47
2019-10-27,37,46
2019-11-03,31,52
2019-11-10,34,59
2019-11-17,32,59
2019-11-24,33,67
2019-12-01,34,69
2019-12-08,36,76
2019-12-15,34,96
2019-12-22,34,82
2019-12-29,38,54
